Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Quantity,Description
RNMF14FTC330R,Stackpole Electronics Inc,S330CACT-ND,R1-32,32,RES 330 OHM 1/4W 1% AXIAL
RNMF14FTC220R,Stackpole Electronics Inc,S220CACT-ND,R33-64,32,RES 220 OHM 1/4W 1% AXIAL
PEC20DBAN,Sullins Connector Solutions,S2112E-20-ND,"J1,J2",2,CONN HEADER R/A 40POS 2.54MM
PPPC061LGBN-RC,Sullins Connector Solutions,S5481-ND,"J3,J4",2,CONN HDR 6POS 0.1 GOLD PCB R/A
ROB-09238,SparkFun Electronics,1568-1105-ND,M1,1,STEPPER MOTOR HYBRID BIPOLAR 12V
LTL-30EHJ,Lite-On Inc.,160-1057-ND,D1-32,32,LED GRN/RED DIFFUSED T-1 3/4 T/H
SKU-0049,SUNHOKEY Electronics Co Ltd,N/A,"OLED1,OLED2",2,128X64 0.96 inch OLED Display Module SSD1306 chipset
